player.name,gamesPlayed,minutesPlayed,pointsScored,totalRebounds,assists,steals,blocks,turnovers,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage,pir,price
,,,,,,,,,,,,,5.1
,,,,,,,,,,,,,5.1
"DOBRIC, OGNJEN",86.0,16.372093023255815,6.2,1.8,0.9,0.5,0.0,0.7,58.5,33.5,73.6,5.1,5.0
"LIGHTY, DAVID",90.0,19.55462962962963,5.2,1.9,1.2,0.6,0.0,0.8,44.7,39.8,73.9,4.3,5.0
,,,,,,,,,,,,,5.0
"RICCI, GIAMPAOLO",83.0,11.285341365461846,2.5,2.0,0.3,0.4,0.2,0.3,59.3,35.7,81.2,2.2,5.0
,,,,,,,,,,,,,5.0
,,,,,,,,,,,,,5.0
,,,,,,,,,,,,,5.0
,,,,,,,,,,,,,5.0
,,,,,,,,,,,,,4.9
,,,,,,,,,,,,,4.8
,,,,,,,,,,,,,4.8
,,,,,,,,,,,,,4.5
,,,,,,,,,,,,,4.5
,,,,,,,,,,,,,4.5
,,,,,,,,,,,,,4.5
,,,,,,,,,,,,,4.5
,,,,,,,,,,,,,4.3
"JACKSON, EDWIN",53.0,15.26194968553459,4.6,1.3,0.8,0.3,0.0,0.8,57.0,30.2,85.4,3.5,4.2
,,,,,,,,,,,,,4.2
,,,,,,,,,,,,,4.2
,,,,,,,,,,,,,4.2
"KALAITZAKIS, PANAGIOTIS",87.0,7.1432950191570885,2.1,0.9,0.3,0.4,0.0,0.3,59.7,30.2,73.8,1.8,4.1
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,4.0
