playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,league
59,53.0,13.0,17.175786163522012,5.2,0.9,1.6,54.1%,1.0,2.4,40.8%,0.6,0.7,79.5%,0.9,2.2,3.1,0.6,0.5,0.5,0.3,0.1,1.1,1.0,6.7,009664,"WILLIS, DEREK",EuroLeague
60,117.0,57.0,20.39273504273504,6.5,2.1,3.4,61.2%,0.6,2.0,27.3%,0.7,1.2,61.5%,1.1,2.3,3.4,0.3,0.4,0.4,0.2,0.1,2.0,1.6,6.7,011231,"BLOSSOMGAME, JARON",EuroLeague
61,92.0,34.0,21.95905797101449,4.9,0.9,1.7,54.8%,0.6,1.9,33.3%,1.2,1.4,80.5%,0.9,2.7,3.6,1.3,1.0,1.0,0.2,0.2,2.6,1.8,6.7,002676,"BUTKEVICIUS, ARNAS",EuroLeague
62,71.0,25.0,18.33075117370892,7.0,1.2,2.1,57.2%,1.3,3.6,36%,0.7,1.0,71.2%,0.9,2.7,3.6,0.5,0.7,0.5,0.3,0.2,2.3,1.1,6.7,011971,"WEBB III, JAMES",EuroLeague
63,56.0,13.0,17.716369047619047,5.9,1.4,2.7,49.7%,0.6,2.0,31.9%,1.2,1.4,86.2%,0.9,2.3,3.2,1.2,0.6,1.3,0.0,0.3,1.6,2.2,7.0,005356,"LOPEZ-AROSTEGUI, XABI",EuroLeague
64,92.0,57.0,22.957246376811597,9.4,1.4,2.7,52%,1.8,4.7,39.2%,1.1,1.5,78.4%,0.5,1.4,1.9,1.3,0.4,0.8,0.0,0.3,2.2,1.5,7.1,004761,"MARINKOVIC, VANJA",EuroLeague
65,47.0,13.0,16.365248226950353,8.3,2.3,3.7,61.5%,1.0,3.1,31%,0.9,1.2,75%,0.3,1.5,1.8,1.7,0.7,1.1,0.2,0.1,2.0,1.5,7.1,003983,"AVRAMOVIC, ALEKSA",EuroLeague
66,105.0,37.0,13.736031746031744,6.0,2.5,3.9,63.9%,0.0,0.0,0%,1.0,1.6,64.8%,1.2,2.0,3.2,0.4,0.2,0.7,0.4,0.2,1.8,1.6,7.1,005504,"BIRUTIS, LAURYNAS",EuroLeague
67,94.0,81.0,22.13936170212766,5.4,2.2,4.5,47.8%,0.0,0.1,25%,0.9,1.4,70.1%,1.9,1.5,3.4,1.1,1.1,0.7,0.1,0.1,2.2,2.0,7.1,010588,"BROWN III, JOHN",EuroLeague
68,95.0,69.0,20.563333333333333,5.7,1.1,2.2,50%,0.8,2.0,38.8%,1.2,1.5,78.9%,0.4,2.1,2.4,2.8,0.6,1.4,0.0,0.2,2.4,2.4,7.3,001844,"HACKETT, DANIEL",EuroLeague
69,90.0,39.0,18.940740740740743,7.6,1.2,2.4,47.3%,1.4,3.8,36.2%,1.1,1.3,86.6%,0.3,1.5,1.8,2.7,0.9,1.5,0.1,0.3,1.6,1.4,7.3,007947,"VILDOZA, LUCA",EuroLeague
70,62.0,8.0,16.260215053763442,8.0,1.2,2.3,50.7%,1.6,3.5,46.4%,0.8,1.0,79.7%,0.9,1.9,2.9,0.7,0.5,0.5,0.1,0.3,1.5,0.8,7.4,011085,"ROGKAVOPOULOS, NIKOLAOS",EuroLeague
